["#0000000040000002#","Vicinity","",1775526628]Welcome to AnarchyOnline
["#0000000040000001#","System","",1775526674]Peh'Wer Pistol is already fully loaded.
["#0000000040000001#","System","",1775526675]Peh'Wer Pistol is already fully loaded.
["#0000000040000001#","System","",1775526675]Peh'Wer Pistol is already fully loaded.
["#0000000040000001#","System","",1775526682]Joining team.
["#0000000040000001#","System","",1775526682]Biggi3 joined your team.
["#0000000042000018#","Me Cast Nano","",1775526694]Executing Nano Program: Motivational Speech: Improved Heroic Measures.
["#0000000040000001#","System","",1775526694]Nanoprogram Motivational Speech: Improved Heroic Measures terminated...
["#0000000042000018#","Me Cast Nano","",1775526694]Nano program executed successfully.
["#0000000040000001#","System","",1775526699]Changing area. Please wait.
["#0000000040000001#","System","",1775526700]Entering 'Inside The Machine'
["#0000000040000001#","System","",1775526700]Team side is omni.
["#0000000040000001#","System","",1775526700]Nanoprogram Environmental Protecting Shield terminated...
["#0000000042000018#","Me Cast Nano","",1775526700]Nano program executed successfully.
["#0000000041000000#","Your Pets","",1775526700]Plus1's pet, Briefcase: Who needs convincing?
["#0000000041000000#","Your Pets","",1775526700]Plus1's pet, Sword: Hello master. I'm ready to obey your commands...
["#0000000042000018#","Me Cast Nano","",1775526701]Executing Nano Program: Demotivational Speech: Dead Man Walking.
["#0000000042000018#","Me Cast Nano","",1775526701]Nano program executed successfully.
["#0000000040000001#","System","",1775526704]You feel a faint vibration from the trimmer.
["#0000000040000001#","System","",1775526706]You hear a ring inside the robot.
["#0000000040000001#","System","",1775526706]Target breed must be human monster!
["#0000000040000001#","System","",1775526706]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526723]Attacked by Masked Commando!
["#0000000040000001#","System","",1775526724]Attacked by Masked Commando!
["#0000000042000009#","Your pet hit by other","",1775526725]Briefcase hit Masked Commando for 2185 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526725]Sword hit Masked Commando for 2379 points of radiation damage.
["#0000000040000001#","System","",1775526725]Sword attacked by Masked Commando!
["#0000000042000009#","Your pet hit by other","",1775526726]Briefcase hit Masked Commando for 3852 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526726]Sword hit Masked Commando for 2149 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526727]Masked Commando hit Sword for 834 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526727]Briefcase hit Masked Commando for 2756 points of melee damage.
["#0000000042000008#","You hit other","",1775526727]Your reflect shield hit Masked Commando for 49 points of damage.
["#0000000042000008#","You hit other","",1775526727]Your damage shield hit Masked Commando for 110 points of damage.
["#0000000042000006#","Me hit by monster","",1775526727]Masked Commando hit you for 1155 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526727]Sword hit Masked Commando for 1711 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526728]Briefcase hit Masked Commando for 2662 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526729]Masked Commando hit Sword for 834 points of melee damage.
["#0000000042000015#","Me got health","",1775526729]You were healed for 304 points.
["#000000004200000a#","Other hit by other","",1775526729]Biggi3 hit Ground Chief Aune for 4351 points of melee damage. Critical hit!
["#000000004200000a#","Other hit by other","",1775526729]Biggi3 hit Ground Chief Aune for 2879 points of Brawling damage.
["#000000004200000a#","Other hit by other","",1775526729]Biggi3 hit Ground Chief Aune for 2250 points of Fast Attack damage.
["#0000000042000013#","Other misses","",1775526729]Masked Commando tried to hit you, but missed!
["#000000004200000a#","Other hit by other","",1775526729]Biggi3 hit Ground Chief Aune for 4626 points of Dimach damage.
["#0000000042000009#","Your pet hit by other","",1775526729]Sword hit Masked Commando for 1740 points of radiation damage.
["#0000000042000015#","Me got health","",1775526729]You were healed for 160 points.
["#0000000042000009#","Your pet hit by other","",1775526729]Briefcase hit Masked Commando for 2290 points of melee damage.
["#0000000042000015#","Me got health","",1775526729]You were healed for 474 points.
["#0000000040000001#","System","",1775526730]Briefcase attacked by Masked Commando!
["#0000000042000004#","Other hit by nano","",1775526730]Ground Chief Aune was attacked with nanobots from Biggi3 for 2848 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526730]Sword hit Masked Commando for 1764 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526730]Biggi3 hit Ground Chief Aune for 2250 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526731]Masked Commando hit Briefcase for 1956 points of melee damage. Critical hit!
["#0000000042000015#","Me got health","",1775526731]You were healed for 217 points.
["#0000000042000004#","Other hit by nano","",1775526731]Ground Chief Aune was attacked with nanobots from Biggi3 for 3313 points of melee damage.
["#0000000042000008#","You hit other","",1775526731]Your reflect shield hit Masked Commando for 49 points of damage.
["#0000000042000008#","You hit other","",1775526731]Your damage shield hit Masked Commando for 110 points of damage.
["#0000000042000006#","Me hit by monster","",1775526731]Masked Commando hit you for 1156 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526731]Sword hit Masked Commando for 3680 points of melee damage. Critical hit!
["#0000000042000009#","Your pet hit by other","",1775526731]Briefcase hit Masked Commando for 2850 points of melee damage.
["#0000000040000001#","System","",1775526732]Sword attacked by Masked Commando!
["#000000004200000a#","Other hit by other","",1775526732]Biggi3 hit Ground Chief Aune for 1996 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526732]Briefcase hit Masked Commando for 3574 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526733]Masked Commando hit Sword for 834 points of melee damage.
["#0000000042000015#","Me got health","",1775526733]You were healed for 304 points.
["#0000000042000004#","Other hit by nano","",1775526733]Ground Chief Aune was attacked with nanobots from Biggi3 for 1438 points of melee damage.
["#0000000042000004#","Other hit by nano","",1775526733]Ground Chief Aune was attacked with nanobots from Biggi3 for 890 points of melee damage.
["#0000000042000013#","Other misses","",1775526733]Masked Commando tried to hit you, but missed!
["#0000000042000009#","Your pet hit by other","",1775526733]Sword hit Masked Commando for 2086 points of radiation damage.
["#0000000042000009#","Your pet hit by other","",1775526733]Briefcase hit Masked Commando for 3401 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526734]Sword hit Masked Commando for 1462 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526734]Biggi3 hit Ground Chief Aune for 1125 points of melee damage. Glancing hit.
["#0000000042000009#","Your pet hit by other","",1775526734]Briefcase hit Masked Commando for 2249 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526735]Masked Commando hit Sword for 834 points of melee damage.
["#0000000042000015#","Me got health","",1775526735]You were healed for 304 points.
["#0000000042000004#","Other hit by nano","",1775526735]Ground Chief Aune was attacked with nanobots from Biggi3 for 1938 points of chemical damage.
["#000000004200000a#","Other hit by other","",1775526735]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526735]Biggi3's damage shield hit Ground Chief Aune for 214 points of damage.
["#000000004200000a#","Other hit by other","",1775526735]Someone absorbed 1371 points of cold damage.
["#000000004200000a#","Other hit by other","",1775526735]Ground Chief Aune hit Biggi3 for 551 points of cold damage.
["#0000000042000008#","You hit other","",1775526735]Your reflect shield hit Masked Commando for 49 points of damage.
["#0000000042000008#","You hit other","",1775526735]Your damage shield hit Masked Commando for 110 points of damage.
["#0000000042000006#","Me hit by monster","",1775526735]Masked Commando hit you for 919 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526735]Sword hit Masked Commando for 2509 points of melee damage.
["#0000000042000009#","Your pet hit by other","",1775526736]Briefcase hit Masked Commando for 2866 points of melee damage.
["#0000000041000000#","Your Pets","",1775526736]Plus1's pet, Briefcase: I'll be right behind you.  Don't answer any questions.
["#0000000041000000#","Your Pets","",1775526736]Plus1's pet, Sword: I will follow you wherever you go, master.
["#000000004200000a#","Other hit by other","",1775526737]Biggi3 hit Ground Chief Aune for 998 points of melee damage. Glancing hit.
["#0000000042000009#","Your pet hit by other","",1775526737]Masked Commando hit Sword for 847 points of melee damage.
["#0000000042000015#","Me got health","",1775526737]You were healed for 304 points.
["#0000000040000001#","System","",1775526737]Attacking Ground Chief Aune...
["#0000000042000004#","Other hit by nano","",1775526737]Ground Chief Aune was attacked with nanobots from Biggi3 for 4013 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526738]Biggi3 hit Ground Chief Aune for 1125 points of melee damage. Glancing hit.
["#0000000042000004#","Other hit by nano","",1775526738]Ground Chief Aune was attacked with nanobots from Biggi3 for 890 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526738]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526738]Biggi3's damage shield hit Ground Chief Aune for 214 points of damage.
["#000000004200000a#","Other hit by other","",1775526738]Ground Chief Aune hit Biggi3 for 1824 points of cold damage.
["#0000000040000001#","System","",1775526738]Briefcase attacked by Masked Commando!
["#0000000040000001#","System","",1775526738]Wait for your previous special attack to complete.
["#0000000042000005#","You hit other with nano","",1775526738]You hit Ground Chief Aune with nanobots for 687 points of chemical damage.
["#0000000042000005#","You hit other with nano","",1775526738]You hit Ground Chief Aune with nanobots for 840 points of projectile damage.
["#0000000042000005#","You hit other with nano","",1775526738]You hit Ground Chief Aune with nanobots for 2143 points of fire damage.
["#0000000042000008#","You hit other","",1775526738]You hit Ground Chief Aune for 5373 points of Burst damage.
["#0000000040000001#","System","",1775526739]Unable to perform action, Burst skill is locked, able in 00:00:09
["#0000000040000001#","System","",1775526739]Action is not available.
["#0000000041000000#","Your Pets","",1775526739]Plus1's pet, Briefcase: I'll fix his habius corpus!
["#0000000041000000#","Your Pets","",1775526739]Plus1's pet, Sword: Charge!
["#0000000040000001#","System","",1775526739]Target must recently have Affected by Dazzle with Lights running!
["#0000000040000001#","System","",1775526739]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526739]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526739]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526739]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526739]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526739]Please wait until previous action has finished.
["#0000000042000008#","You hit other","",1775526739]You hit Ground Chief Aune for 1791 points of Fling Shot damage.
["#0000000042000015#","Me got health","",1775526739]You were healed for 304 points.
["#0000000042000018#","Me Cast Nano","",1775526739]Executing Nano Program: Inefficient Arm Movements.
["#0000000042000018#","Me Cast Nano","",1775526739]Nano program executed successfully.
["#0000000042000015#","Me got health","",1775526739]You were healed for 478 points.
["#000000004200000a#","Other hit by other","",1775526740]Biggi3 hit Ground Chief Aune for 1996 points of melee damage.
["#0000000040000001#","System","",1775526740]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526740]Unable to perform action, Burst skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526740]Action is not available.
["#0000000040000001#","System","",1775526740]Must be in combat mode.
["#0000000040000001#","System","",1775526740]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]Target must recently have Affected by Dazzle with Lights running!
["#0000000040000001#","System","",1775526740]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526740]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You must recently have Affected by Quick Shot running!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]You are already running this action!
["#0000000040000001#","System","",1775526740]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526740]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526740]Sword attacked by Masked Commando!
["#0000000042000008#","You hit other","",1775526740]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#000000004200000a#","Other hit by other","",1775526741]Biggi3 hit Ground Chief Aune for 3805 points of melee damage. Critical hit!
["#0000000040000001#","System","",1775526741]You successfully perform a Dazzle With Lights attack.
["#0000000042000009#","Your pet hit by other","",1775526741]Masked Commando hit Sword for 834 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526741]Executing Nano Program: Wasteful Arm Movements.
["#0000000042000018#","Me Cast Nano","",1775526741]Executing Nano Program: Wasteful Arm Movements.
["#0000000042000015#","Me got health","",1775526741]You were healed for 304 points.
["#0000000042000018#","Me Cast Nano","",1775526741]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526741]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526741]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526741]Unable to execute nano program. You can't execute this nano on the target.
["#000000004200000a#","Other hit by other","",1775526741]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526741]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526741]Ground Chief Aune hit Biggi3 for 1995 points of cold damage.
["#0000000042000005#","You hit other with nano","",1775526742]You hit Ground Chief Aune with nanobots for 2791 points of projectile damage.
["#0000000040000001#","System","",1775526742]You successfully perform a Quick Shot attack.
["#0000000040000001#","System","",1775526742]Unable to perform action, Fling Shot skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526742]Unable to perform action, Burst skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526742]Unable to perform action Starfall perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526742]Action is not available.
["#0000000040000001#","System","",1775526742]Unable to perform action Pistol Mastery perk is locked, able in 00:00:45
["#0000000040000001#","System","",1775526742]Must be in combat mode.
["#0000000040000001#","System","",1775526742]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526742]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526742]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526742]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526742]Unable to perform action, Fling Shot skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526742]Unable to perform action, Burst skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526742]Unable to perform action Starfall perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526742]Action is not available.
["#0000000040000001#","System","",1775526742]Unable to perform action Pistol Mastery perk is locked, able in 00:00:45
["#0000000040000001#","System","",1775526742]Must be in combat mode.
["#0000000040000001#","System","",1775526742]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526742]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]You are already running this action!
["#0000000040000001#","System","",1775526742]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526742]Please wait until previous action has finished.
["#0000000042000008#","You hit other","",1775526742]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#0000000040000001#","System","",1775526742]Briefcase attacked by Masked Commando!
["#000000004200000a#","Other hit by other","",1775526743]Biggi3 hit Ground Chief Aune for 4351 points of melee damage. Critical hit!
["#0000000042000004#","Other hit by nano","",1775526743]Ground Chief Aune was attacked with nanobots from Biggi3 for 890 points of melee damage.
["#0000000042000015#","Me got health","",1775526743]You were healed for 77 points.
["#000000004200000a#","Other hit by other","",1775526744]Biggi3 hit Ground Chief Aune for 1125 points of melee damage. Glancing hit.
["#0000000040000001#","System","",1775526744]Fling Shot skill available.
["#0000000042000018#","Me Cast Nano","",1775526744]Executing Nano Program: Malaise of Zeal.
["#0000000042000018#","Me Cast Nano","",1775526744]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526745]Unable to execute nano program. You can't execute this nano on the target.
["#0000000040000001#","System","",1775526745]Briefcase attacked by Masked Commando!
["#0000000042000018#","Me Cast Nano","",1775526745]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526745]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000005#","You hit other with nano","",1775526745]You hit Ground Chief Aune with nanobots for 3767 points of projectile damage.
["#0000000042000005#","You hit other with nano","",1775526745]You hit Ground Chief Aune with nanobots for 4208 points of projectile damage.
["#0000000040000001#","System","",1775526745]You successfully perform a Deadeye attack.
["#0000000040000001#","System","",1775526745]Sword attacked by Masked Commando!
["#0000000042000018#","Me Cast Nano","",1775526745]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526745]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526745]Target resisted.
["#0000000040000001#","System","",1775526745]Grenade or Lumping Throwing skill available.
["#0000000040000001#","System","",1775526745]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526745]Unable to perform action Starfall perk is locked, able in 00:00:30
["#0000000040000001#","System","",1775526745]Action is not available.
["#0000000040000001#","System","",1775526745]Unable to perform action Pistol Mastery perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526745]Unable to perform action Pistol Mastery perk is locked, able in 00:01:29
["#0000000040000001#","System","",1775526745]Target is outside range.
["#0000000040000001#","System","",1775526745]Must be in combat mode.
["#0000000040000001#","System","",1775526745]You're unable to perform this action; please check the requirements of the item.
["#0000000042000004#","Other hit by nano","",1775526745]Ground Chief Aune was attacked with nanobots from Biggi3 for 3932 points of melee damage.
["#0000000042000004#","Other hit by nano","",1775526745]Ground Chief Aune was attacked with nanobots from Biggi3 for 641 points of melee damage.
["#0000000042000008#","You hit other","",1775526745]You hit Ground Chief Aune for 2759 points of Fling Shot damage.
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526745]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526745]Unable to perform action Starfall perk is locked, able in 00:00:30
["#0000000040000001#","System","",1775526745]Action is not available.
["#0000000040000001#","System","",1775526745]Unable to perform action Pistol Mastery perk is locked, able in 00:00:41
["#0000000040000001#","System","",1775526745]Unable to perform action Pistol Mastery perk is locked, able in 00:01:29
["#0000000040000001#","System","",1775526745]Target is outside range.
["#0000000040000001#","System","",1775526745]Must be in combat mode.
["#0000000040000001#","System","",1775526745]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526745]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526745]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526745]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526745]You are already running this action!
["#0000000040000001#","System","",1775526746]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526746]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]Please wait until previous action has finished.
["#0000000042000005#","You hit other with nano","",1775526746]You hit Ground Chief Aune with nanobots for 3568 points of projectile damage.
["#0000000040000001#","System","",1775526746]You successfully perform Collapser.
["#0000000042000018#","Me Cast Nano","",1775526746]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526746]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526746]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526746]Unable to execute nano program. You can't execute this nano on the target.
["#000000004200000a#","Other hit by other","",1775526746]Biggi3 hit Ground Chief Aune for 1996 points of melee damage.
["#0000000040000001#","System","",1775526746]Attacked by Masked Commando!
["#0000000042000018#","Me Cast Nano","",1775526746]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526746]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526746]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526746]Unable to execute nano program. You can't execute this nano on the target.
["#0000000040000001#","System","",1775526746]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526746]Unable to perform action, Burst skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526746]Unable to perform action Starfall perk is locked, able in 00:00:29
["#0000000040000001#","System","",1775526746]Action is not available.
["#0000000040000001#","System","",1775526746]Unable to perform action Pistol Mastery perk is locked, able in 00:00:40
["#0000000040000001#","System","",1775526746]Unable to perform action Pistol Mastery perk is locked, able in 00:01:28
["#0000000040000001#","System","",1775526746]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526746]Target is outside range.
["#0000000040000001#","System","",1775526746]Must be in combat mode.
["#0000000040000001#","System","",1775526746]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526746]Sword: Your pet is out of range, if you dont get closer to the pet it will abort the fight and return to you.
["#0000000042000004#","Other hit by nano","",1775526746]Ground Chief Aune was attacked with nanobots from Biggi3 for 2015 points of melee damage.
["#0000000040000001#","System","",1775526746]You are already running this action!
["#000000004200000a#","Other hit by other","",1775526746]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526746]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526746]Ground Chief Aune hit Biggi3 for 1844 points of cold damage.
["#0000000040000001#","System","",1775526746]Target must recently have Affected by Combust running!
["#0000000040000001#","System","",1775526746]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]You are already running this action!
["#0000000040000001#","System","",1775526746]Please wait until previous action has finished.
["#0000000040000001#","System","",1775526747]Briefcase attacked by Masked Commando!
["#0000000040000001#","System","",1775526747]Briefcase: Your pet is out of range, if you dont get closer to the pet it will abort the fight and return to you.
["#0000000042000018#","Me Cast Nano","",1775526747]Executing Nano Program: Pet Warp.
["#000000004200000a#","Other hit by other","",1775526747]Biggi3 hit Ground Chief Aune for 3805 points of melee damage. Critical hit!
["#0000000042000018#","Me Cast Nano","",1775526747]Executing Nano Program: Pet Warp.
["#0000000042000018#","Me Cast Nano","",1775526747]Nano program failed. Already executing nanoprogram.
["#0000000042000008#","You hit other","",1775526747]You hit Ground Chief Aune for 1791 points of projectile damage.
["#0000000042000018#","Me Cast Nano","",1775526747]Nano program failed. Already executing nanoprogram.
["#0000000042000018#","Me Cast Nano","",1775526747]Executing Nano Program: Pet Warp.
["#0000000042000018#","Me Cast Nano","",1775526747]Nano program failed. Already executing nanoprogram.
["#0000000042000004#","Other hit by nano","",1775526747]Ground Chief Aune was attacked with nanobots from Biggi3 for 124 points of melee damage.
["#0000000040000001#","System","",1775526747]Burst skill available.
["#0000000042000004#","Other hit by nano","",1775526747]Ground Chief Aune was attacked with nanobots from Biggi3 for 3557 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526747]Executing Nano Program: Pet Warp.
["#0000000042000018#","Me Cast Nano","",1775526747]Nano program failed. Already executing nanoprogram.
["#0000000042000005#","You hit other with nano","",1775526748]You hit Ground Chief Aune with nanobots for 2568 points of projectile damage.
["#0000000040000001#","System","",1775526748]You successfully perform Implode.
["#0000000042000008#","You hit other","",1775526748]You hit Ground Chief Aune for 1791 points of projectile damage.
["#0000000042000004#","Other hit by nano","",1775526748]Ground Chief Aune was attacked with nanobots from Biggi3 for 890 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526748]Biggi3 hit Ground Chief Aune for 6612 points of Brawling damage.
["#000000004200000a#","Other hit by other","",1775526748]Biggi3 hit Ground Chief Aune for 2250 points of Fast Attack damage.
["#0000000040000001#","System","",1775526749]Sword attacked by Masked Commando!
